project,dynamic,static
CeON-spark-utils,4,2
ceridwen-com-ceridwen-standard-interchange-protocol-library,3,2
cescoffier-vertx-completable-future,67,10
ChannelApe-shopify-sdk,31980,48
Chatanga-Girinoscope,0,0
chengdedeng-waf,0,0
chenhaiyangs-mybatis-encrypt-plugin,0,0
chenjianjx-swagger2html,392,6
chenjianjx-wsdl2html,1,1
chocoteam-choco-graph,380807,5
chrfrantz-DBSCAN,0,0
chriswhocodes-FreeLogJ,23,9
Chrriis-RRDiagram,0,0
chyxion-table-to-xls,205,8
cimiano-tbx2rdf,906,2
CiscoDevNet-stealthwatch-data-exporter,0,0
cjmatta-kafka-connect-irc,0,0
clarkchen-data_structure,46,3
cliang97-HealthReport-WUT,375,15
cloudbees-diff4j,546,2
cloudbees-oss-zendesk-java-client,923,24
cloudiator-sword,11,4
cloudiator-visor,0,0
cloudspannerecosystem-pgadapter,2,1
cm-heclouds-onenet-studio-api-java-sdk,0,0
cocolian-cocolian-nlp,20,1
CODAIT-stocator,25789,2
code4craft-xsoup,36,1
codeclou-java-junit-xml-merger,115,1
codedance-silken,1,1
codeforamerica-pdfparser,42,4
codeine-cd-codeine,6,3
codelibs-elasticsearch-dataformat,8488,103
codelibs-elasticsearch-dynarank,166597,89
codelibs-elasticsearch-langfield,18002,65
codelibs-elasticsearch-sstmpl,62769,98
codelibs-jcifs,5,3
codelibs-jhighlight,0,0
codelibs-ranklib,13,1
codelion-gramtest,0,0
codepine-testrail-api-java-client,91,20
coderodde-OrderStatisticTree,39925,26
CodeShield-Security-Log4JShell-Bytecode-Detector,2,2
CodinGameCommunity-XmasRush,0,0
coekie-gentyref,0,0
coldnew-twse-captcha-solver-java,0,0
Col-E-Simple-Memory-Compiler,0,0
confluentinc-castle,0,0
confluentinc-kafka-connect-datagen,23899,18
contentful-contentful.java,362,6
contentful-contentful-management.java,2162,8
conveyal-osm-lib,4380672,6
coralblocks-CoralME,4,4
corentin59-ArtNetStack,0,0
Coreoz-PPT-Templates,627,4
Coreoz-Wisp,1,1
couchbaselabs-couchbase-capi-server,5971,48
Coveros-GitHub-Sandbox-selenified,11533,24
cowtowncoder-java-cachemate,0,0
cowtowncoder-java-uuid-generator,2,2
cowtowncoder-low-gc-membuffers,12,4
c-rack-cbor-java,200393,28
craigwblake-redline,71,8
crispab-javabuilderpattern,0,0
crossoverJie-distributed-redis-tool,0,0
crossoverJie-leetcode,0,0
Crozin-Wykop.pl-Java-SDK,0,0
Cryptonomica-cryptonomica,8,3
ctapweb-AutoSubClause,536,9
cternes-openkeepass,565,33
ctran-TinyRadius,226,4
ctrl-alt-dev-tps-parse,16,2
ctron-rpm-builder,0,0
CubeEngine-Dirigent,0,0
CurrencyCloud-currencycloud-java,14065,45
cutecharts-cutecharts.java,0,0
cyberborean-rdfbeans,403,12
CycloneDX-cyclonedx-maven-plugin,100,2
dadiyang-equator,0,0
dadoonet-elasticsearch-beyonder,4,2
daimuuc-CampusLife-SSM-,326,11
DaisyDiff-DaisyDiff,0,0
daisy-jhyphen,5,1
damienclaveau-kafka-graphite,1,1
damnhandy-Handy-URI-Templates,12,4
dampcake-bencode,28,20
danieldk-dictomaton,763,24
danielwegener-logback-kafka-appender,6,2
dano-vertx-zeromq,9,3
darmiel-eeee,0,0
dart-maven-plugin-dart-maven-plugin,8,1
DataDog-java-dogstatsd-client,585,22
DataDog-jmeter-datadog-backend-listener,20095,11
datastax-native-protocol,3,1
datoin-http-requests,52,13
davidB-scala-maven-plugin,0,0
DavidHerBet-java-codility,2,1
davidmoten-aws-maven-plugin,0,0
davidmoten-bplustree,11,6
davidmoten-guava-mini,0,0
davidmoten-predict4java,0,0
davidmoten-rtree,84043,18
davidmoten-rtree2,19,4
davidmoten-rtree-multi,21,6
davidmoten-rxjava2-file,0,0
davidmoten-rxjava-jdbc,3,1
davidmoten-rxjava-slf4j,0,0
davidmoten-word-wrap,8,8
dbaggott-newrelic-dropwizard,22,2
ddopson-java-class-enumerator,0,0
delthas-JavaMP3,0,0
demidenko05-beigesoft-accounting,0,0
demidenko05-beigesoft-webstore,0,0
de-mklinger-tomcat-juli-slf4j,3,1
deniswsrosa-liquicouch,0,0
denniskniep-GQLRaider,3,1
DenzelCode-AdvancedSQL,1,1
dev-aspectj-aspectj-maven-plugin,24419,12
devcon5io-mutation-analysis-plugin,11,7
devnied-Bit-lib4j,0,0
devopshydclub-vprofile-project,66,2
devopshydclub-vprofile-repo,36,2
dgroup-docker-unittests,1158,26
dgroup-laconic-velocity,42,6
dhananjaypatkar-kafka-connect-phoenix,1,1
dhatim-business-hours-java,3,3
dibbhatt-kafka-spark-consumer,0,0
didi-benchmark-thrift,5721,10
