name,sha,url
codelibs/ranklib,e43f605f2ccba8e43aefab7a17e69605ea865e35,https://github.com/codelibs/ranklib
coderodde/OrderStatisticTree,546c343b9f5d868e394a079ff32691c9dbfd83e3,https://github.com/coderodde/OrderStatisticTree
CodinGameCommunity/XmasRush,df8eb80f709afaab446a4e3d5c30a73337b85e73,https://github.com/CodinGameCommunity/XmasRush
coekie/gentyref,61ad00b1642ac4ea8d939b469093912a07b0d8a0,https://github.com/coekie/gentyref
corentin59/ArtNetStack,9b196881ca5305d548fd89e22a2ca21dc7ca3196,https://github.com/corentin59/ArtNetStack
cowtowncoder/java-cachemate,cabd2109bf9960cd89688a7ec69d014c9d116532,https://github.com/cowtowncoder/java-cachemate
cowtowncoder/low-gc-membuffers,96b73b91f4f5af099693cf50416fdf5ec08b25b5,https://github.com/cowtowncoder/low-gc-membuffers
c-rack/cbor-java,0235e07b01c397d43aecee35690afc943bbcaa94,https://github.com/c-rack/cbor-java
crispab/javabuilderpattern,eab30bae4dfd48f754acf24ed5b4b373b490735e,https://github.com/crispab/javabuilderpattern
crossoverJie/leetcode,3cc95a2ace4c19cd6a49056bfe3199cd2e9a5747,https://github.com/crossoverJie/leetcode
Crozin/Wykop.pl-Java-SDK,f28ba3f365687decb3d4e90cd6f5bc3cd018bc66,https://github.com/Crozin/Wykop.pl-Java-SDK
ctran/TinyRadius,c5d4463c32bb5142a4fa5f8526b4a93f24afacb2,https://github.com/ctran/TinyRadius
ctron/rpm-builder,74ecb1a08d61d95617827faadfd844b51bbc6818,https://github.com/ctron/rpm-builder
CubeEngine/Dirigent,d0ecaf994149ff79be95b0c66aacf27f9d6b8628,https://github.com/CubeEngine/Dirigent
dadiyang/equator,270b50c8debac54cff49464178cfd9b8d3130f3a,https://github.com/dadiyang/equator
DaisyDiff/DaisyDiff,a7228a3f4eb2020262382bcbbcfb2ebb12ef9b08,https://github.com/DaisyDiff/DaisyDiff
daisy/jhyphen,76c3f160c22ae06dfff0a9ef8aec93a64c59d751,https://github.com/daisy/jhyphen
dampcake/bencode,d2d7ba41d2dc541549d8e59eaa675c67a9356c6e,https://github.com/dampcake/bencode
