project,collection status,# traces,# unique traces,# traces based on unique file,# unique traces based on unique file,# events,# unique events,duplicated traces,duplicated events,(without raw) # traces based on unique file,(without raw) # unique traces based on unique file,(without raw) # events,(without raw) # unique events,(without raw) duplicated traces,(without raw) duplicated events
soot-oss-heros,OK,237356,3058,237356,3058,894648,47959,234298,846689,237335,3040,864339,27948,234295,836391
gesellix-Nimbus-JOSE-JWT,OK,542,126,542,126,3451,2034,416,1417,534,119,2506,1323,415,1183
usnistgov-Lineage-Mapper,OK,11792,883,11792,883,282662,89635,10909,193027,11783,875,223680,31237,10908,192443
Graylog2-gelfclient,OK,133471,1524,133491,1524,593732,28588,131967,565144,133464,1511,584888,22793,131953,562095
codedance-silken,OK,367,46,367,46,2176,494,321,1682,363,43,1627,207,320,1420
Crozin-Wykop.pl-Java-SDK,OK,300,113,300,113,1982,879,187,1103,295,109,1657,588,186,1069
aleksandr-m-gitflow-maven-plugin,OK,463,31,463,31,1958,173,432,1785,458,28,1913,150,430,1763
erdtman-java-json-canonicalization,OK,251,94,251,94,2309,1847,157,462,247,92,2216,1814,155,402
JaroslavTulach-heapdump,OK,240,116,240,116,246477,175622,124,70855,232,109,105265,104996,123,269
threerings-react,OK,602,178,602,178,2337,1211,424,1126,594,171,1690,607,423,1083
twitter-netty-http2,OK,1526,144,1526,144,4159,881,1382,3278,1511,132,3785,636,1379,3149
yuqi1129-calcite-test,OK,430,180,430,180,2679,1788,250,891,422,173,1817,1270,249,547
oskopek-javaanpr,OK,92645,1050,92645,1050,293404,17578,91595,275826,92632,1038,286387,12882,91594,273505
purcell-jargs,OK,387,24,387,24,1429,285,363,1144,384,22,1038,88,362,950
agoncal-agoncal-application-petstore-ee7,OK,126910,1272,126910,1272,539439,30920,125638,508519,126901,1264,516657,15687,125637,500970
authorjapps-simulator,OK,39072,1184,39074,1185,789474,292094,37889,497380,38554,1164,487639,60594,37390,427045
fangyidong-json-simple,OK,320,108,320,108,1548,661,212,887,314,103,1483,618,211,865
davidmoten-predict4java,OK,2433,98,2433,98,9334,1848,2335,7486,2428,94,7983,1129,2334,6854
apereo-cas-server-security-filter,OK,70282,1094,70282,1094,378601,18743,69188,359858,70266,1085,371349,13806,69181,357543
jnr-jnr-enxio,OK,1265,296,1265,296,8110,4008,969,4102,1230,284,6423,3132,946,3291
DReichLab-ADNA-Tools,OK,104310,1520,104310,1520,711925,153245,102790,558680,104299,1511,603693,79542,102788,524151
jvitorr-Jeasier,OK,1786,86,1786,86,396799,374828,1700,21971,1779,80,385791,363837,1699,21954
IBM-Cloud-gp-java-client,OK,167,31,167,31,1273,329,136,944,162,27,1153,250,135,903
SiftScience-kafka-assigner,OK,1238,192,1238,192,6314,1736,1046,4578,1230,186,5449,1199,1044,4250
Driftt-EmailReplyParser,OK,1021,199,1021,199,9130,3862,822,5268,1018,196,9089,3821,822,5268
michaelwittig-java-q,OK,317,92,317,92,1207,452,225,755,314,90,1165,430,224,735
igniterealtime-tinder,OK,125304,559,125304,559,479608,94823,124745,384785,125295,551,461504,76792,124744,384712
petterobam-mds2index.html,OK,72776,2660,72777,2661,671344,319349,70116,351995,72767,2652,614823,275649,70115,339174
TheHolyWaffle-TeamSpeak-3-Java-API,OK,165,64,165,64,1209,459,101,750,163,62,1203,453,101,750
dpressel-sgdtk,OK,748,29,748,29,6045,3075,719,2970,744,25,6025,3055,719,2970
huangbowen521-SpringJMSSample,OK,44478,3215,44478,3215,469285,269214,41263,200071,43919,3194,433498,234002,40725,199496
carlostse-jopencc,OK,42,21,42,21,503534,447568,21,55966,40,20,391648,391625,20,23
jonpereiradev-diff-objects,OK,1027,125,1027,125,4506,1301,902,3205,1022,121,3253,435,901,2818
codelibs-ranklib,OK,28725,351,28725,351,704400,555705,28374,148695,28717,344,685059,537965,28373,147094
dhananjaypatkar-kafka-connect-phoenix,OK,618,222,618,222,4638,2626,396,2012,609,215,3788,2099,394,1689
PoslavskySV-libdivide4j,OK,226478,40,226478,40,832726,201,226438,832525,226476,38,832654,129,226438,832525
stevespringett-cvss-calculator,OK,519,13,519,13,9948,207,506,9741,518,12,9923,182,506,9741
trekawek-coffee-gb,OK,1260,140,1260,140,7985,2313,1120,5672,1256,137,6913,1762,1119,5151
chyxion-table-to-xls,OK,48108,2691,48215,2721,930192,166067,45494,764125,48138,2703,872393,132242,45435,740151
harawata-appdirs,OK,454,36,454,36,1890,156,418,1734,451,34,1878,149,417,1729
agrison-redux4j,OK,353,114,353,114,3313,1561,239,1752,346,108,3002,1358,238,1644
biouno-figshare-java-api,OK,391,63,391,63,8080,3066,328,5014,386,59,7655,2839,327,4816
marschall-svn-diffstat,OK,27,10,27,10,1376,713,17,663,22,6,30,14,16,16
kayahr-pherialize,OK,392,182,392,182,7492,5124,210,2368,389,180,7236,4993,209,2243
TakahikoKawasaki-nv-i18n,OK,291,26,291,26,3452,1625,265,1827,287,23,1069,131,264,938
errai-errai,OK,105842,2426,105842,2426,723820,237851,103416,485969,105829,2415,666634,188342,103414,478292
xianfengyi-ExprEngine,OK,44326,795,44326,795,238861,32721,43531,206140,44319,789,226243,23730,43530,202513
jasminb-jsonapi-converter,OK,70333,1869,70333,1869,436129,74038,68464,362091,70084,1849,378586,44113,68235,334473
undera-perfmon-agent,OK,914,162,914,162,3142,1111,752,2031,903,152,2150,419,751,1731
william-ferguson-au-asymmetric-crypto,OK,6,5,6,5,2034,2026,1,8,4,3,2017,2009,1,8
tkutcher-jgrade,OK,1181,128,1181,128,3958,742,1053,3216,1177,125,3307,409,1052,2898
JodaOrg-joda-collect,OK,1896,266,1896,266,7163,1897,1630,5266,1890,260,6748,1482,1630,5266
liudongdong0909-mybatis-generator-core-fix,OK,980,128,980,128,3176,934,852,2242,973,124,2542,516,849,2026
dubasdey-portable-ftp-server,OK,865,107,865,107,2406,392,758,2014,854,97,2242,291,757,1951
xebia-Xebium,OK,57057,225,57057,225,223363,45885,56832,177478,57046,218,163648,771,56828,162877
wmixvideo-bradesco-boleto-registro,OK,53,25,53,25,7516,5508,28,2008,50,23,6947,5215,27,1732
bkiers-atlas,OK,10950,97,10950,97,803213,517290,10853,285923,10940,89,32759,1764,10851,30995
msanez-sonar-branch-community,OK,206015,2083,206015,2083,922864,49683,203932,873181,205992,2063,905895,38482,203929,867413
opentimestamps-java-opentimestamps,OK,121634,1604,121634,1604,615842,60247,120030,555595,121623,1594,584905,42244,120029,542661
MitchTalmadge-ASCII-Data,OK,1525,34,1525,34,9137,1377,1491,7760,1523,32,9071,1311,1491,7760
square-pagerduty-incidents,OK,674,93,674,93,5540,3336,581,2204,666,86,4794,2941,580,1853
googleapis-disco-to-proto3-converter,OK,1062981,28371,1062981,28371,185761927,181362165,1034610,4399762,1062948,28357,185456641,181178875,1034591,4277766
loehndorf-scengen,OK,72,18,72,18,1094,320,54,774,67,14,760,146,53,614
jdubois-spring-on-azure,OK,171222,3149,171222,3149,677462,73622,168073,603840,171119,3116,643369,53873,168003,589496
blinkfox-mini-table,OK,34,22,34,22,1220,1168,12,52,31,20,1187,1151,11,36
hongbeomi-Programmers,OK,621,130,621,130,2381,919,491,1462,611,123,2088,715,488,1373
gkopff-gson-javatime-serialisers,OK,296,61,296,61,4007,1406,235,2601,291,57,3747,1265,234,2482
jklingsporn-vertx-push-onesignal,OK,497,132,501,135,5073,2181,366,2892,493,128,4586,1872,365,2714
lazee-freemarker-java-8,OK,119709,1092,119709,1092,925703,411634,118617,514069,119697,1082,872435,382079,118615,490356
vmware-vrops-export,OK,27595,2188,27687,2207,423249,171658,25480,251591,27641,2189,342012,127502,25452,214510
NovatecConsulting-BeanTest,OK,3437170,25116,3437170,25116,189723066,173686616,3412054,16036450,3436173,25076,188490392,172455489,3411097,16034903
weblyzard-nilsimsa,OK,172,12,172,12,1855,203,160,1652,170,11,1747,149,159,1598
smartics-smartics-jboss-modules-maven-plugin,OK,1646,232,1646,232,4856,1391,1414,3465,1637,224,4307,871,1413,3436
messenger4j-messenger4j,OK,23371,1540,23371,1540,253467,61083,21831,192384,23350,1521,206284,31046,21829,175238
iterate-ch-java-openstack-swift,OK,325,93,325,93,2292,892,232,1400,320,89,1510,488,231,1022
valery1707-kaitai-maven-plugin,OK,13994,1302,13994,1302,194429,141281,12692,53148,13983,1292,191103,138809,12691,52294
gkopff-gson-jodatime-serialisers,OK,978,161,978,161,9652,3637,817,6015,972,156,7863,2631,816,5232
digitalheir-java-nfa,OK,1584,109,1584,109,5792,1380,1475,4412,1577,103,5552,1204,1474,4348
anubhavshukla-properties-to-yaml-converter,OK,708,50,708,50,3821,284,658,3537,704,48,3639,222,656,3417
iris-edu-stationxml-seed-converter,OK,23127973,6536,23127973,6536,132438330,2309432,23121437,130128898,23127968,6532,132186303,2150761,23121436,130035542
open-dis-open-dis-java,OK,138,64,138,64,2917,2071,74,846,133,60,1207,1074,73,133
coderodde-OrderStatisticTree,OK,5190,113,5190,113,279469,261150,5077,18319,5185,109,212345,206995,5076,5350
ronmamo-reflections,OK,130820,813,130820,813,426831,42335,130007,384496,130812,806,412867,29133,130006,383734
seaswalker-netty-wheel,OK,308,82,308,82,1065,286,226,779,298,73,988,230,225,758
Thare-Lam-fast-elasticsearch-query-builder,OK,678,227,678,227,3501,1422,451,2079,665,216,2975,1026,449,1949
rrice-java-string-similarity,OK,222,32,222,32,1549,437,190,1112,221,31,1546,434,190,1112
cliang97-HealthReport-WUT,OK,107746,4165,107773,4170,694129,123315,103603,570814,107301,4134,655609,98712,103167,556897
awslabs-amazon-kinesis-scaling-utils,OK,381,159,381,159,4332,2928,222,1404,373,152,3969,2737,221,1232
LarryDpk-Google-Bard,OK,129641,3048,129641,3048,590411,105371,126593,485040,129499,3031,557645,86543,126468,471102
Shunshun94-discord-bcdicebot,OK,25373,2249,25373,2249,707811,490863,23124,216948,25357,2234,684533,472047,23123,212486
huiyang100-excel-formula-engine,OK,139199,539,139199,539,539705,142047,138660,397658,139184,530,535326,139239,138654,396087
metamug-java-jwt,OK,305,39,305,39,1881,364,266,1517,303,38,1753,300,265,1453
k55k32-simple-codegen,OK,338,93,338,93,6124,5354,245,770,330,88,5374,4852,242,522
echisan-wbp4j,OK,578,162,578,162,2711,958,416,1753,567,153,2101,629,414,1472
spriet2000-vertx-handlers-http,OK,26141,329,26141,329,312053,102125,25812,209928,26129,318,253849,46682,25811,207167
qmx-jitescript,OK,483,79,483,79,1015,222,404,793,480,76,951,158,404,793
square-gifencoder,OK,169,83,169,83,1002,498,86,504,160,76,876,431,84,445
schnatterer-musicbrainzws2-java,OK,120669,1094,120669,1094,526272,87294,119575,438978,120654,1084,502142,73381,119570,428761
dgroup-docker-unittests,OK,35670,2545,35670,2545,379650,184190,33125,195460,35506,2522,308532,125963,32984,182569
softlayer-softlayer-java,OK,126460,1687,126460,1687,429194,27738,124773,401456,126439,1671,416030,19442,124768,396588
supercargo-guice-persist-jooq,OK,169130,2002,169130,2002,621401,55067,167128,566334,169103,1982,602457,42831,167121,559626
apache-maven-jarsigner-plugin,OK,292045,1536,292045,1536,964800,44210,290509,920590,292025,1525,942459,29703,290500,912756
sevntu-checkstyle-dsm-maven-plugin,OK,34949,910,34949,910,214141,49184,34039,164957,34926,896,159763,17888,34030,141875
agentgt-jatl,OK,1310,221,1310,221,7904,3089,1089,4815,1307,219,7704,2988,1088,4716
jcabi-jcabi-ssl-maven-plugin,OK,6912,40,6912,40,7251,176,6872,7075,6906,35,7152,118,6871,7034
vlingo-xoom-cluster,OK,95609,1949,95612,1949,315329,23505,93663,291824,95589,1931,302139,15951,93658,286188
pascalgn-jiracli,OK,53374,3678,53374,3678,943620,683242,49696,260378,52922,3656,870707,643783,49266,226924
fanchaoo-hahu,OK,67322,2638,67401,2644,523205,104202,64757,419003,67161,2626,479046,77607,64535,401439
pheerathach-promptpay,OK,2272,58,2272,58,8196,1097,2214,7099,2270,56,7345,246,2214,7099
afrunt-jach,OK,71383,280,71383,280,338262,8115,71103,330147,71378,276,329630,3534,71102,326096
slub-urnlib,OK,961,146,961,146,4388,1184,815,3204,953,140,4140,969,813,3171
zhixiangli-code-similarity,OK,63,35,63,35,1099,995,28,104,61,34,1095,993,27,102
pedrovgs-Algorithms,OK,574,232,574,232,1556,772,342,784,567,227,1415,662,340,753
jottley-spring-social-salesforce,OK,45921,2107,45921,2107,379846,145207,43814,234639,45620,2086,314472,112004,43534,202468
entrusc-xdata,OK,1493,130,1493,130,7284,3241,1363,4043,1394,117,3999,1657,1277,2342
de-mklinger-tomcat-juli-slf4j,OK,379,7,379,7,2010,21,372,1989,378,6,2007,18,372,1989
apache-sling-org-apache-sling-feature,OK,114298,4136,114298,4136,485170,64471,110162,420699,113230,4086,467501,53728,109144,413773
SchweizerischeBundesbahnen-springboot-graceful-shutdown,OK,1124,157,1124,157,7873,2268,967,5605,1113,148,6907,1765,965,5142
andree-surya-moji4j,OK,185,39,185,39,8314,4864,146,3450,182,38,5983,4087,144,1896
nla-outbackcdx,OK,19176,2192,19177,2193,353256,149640,16984,203616,19109,2163,319530,128642,16946,190888
dspinellis-ckjm,OK,470,72,470,72,3436,1716,398,1720,464,68,2802,1276,396,1526
yagarea-java-chat,OK,53,17,53,17,1283,185,36,1098,50,15,1265,175,35,1090
zihluwang-opensource-core,OK,629,197,629,197,8172,4412,432,3760,620,190,7773,4204,430,3569
davidmoten-rxjava-slf4j,OK,59248,1149,59248,1149,229362,15122,58099,214240,59237,1139,225181,12305,58098,212876
pk8est-table-printer,OK,17267,992,17267,992,308221,263016,16275,45205,17260,986,302369,257833,16274,44536
jericks-geoserver-shell,OK,209528,2818,209530,2819,889684,84958,206711,804726,209502,2795,816978,38952,206707,778026
jmazzitelli-prometheus-scraper,OK,28331,418,28331,418,239683,17653,27913,222030,26339,410,223396,9918,25929,213478
codeine-cd-codeine,OK,1089,362,1089,362,5234,2147,727,3087,1081,355,3798,1382,726,2416
fzakaria-ascii85,OK,16,16,16,16,1499,1499,0,0,16,16,1499,1499,0,0
joshgontijo-rest-client,OK,65326,2130,65327,2130,379131,133245,63197,245886,65195,2101,324305,102815,63094,221490
mjsalerno-UnoBot,OK,387,91,387,91,2652,1466,296,1186,384,88,2622,1436,296,1186
qwhai-algorithms-sort,OK,433,34,433,34,1428,185,399,1243,428,30,1389,157,398,1232
goncalomb-NBTEditor,OK,326,42,326,42,4850,3217,284,1633,318,35,2965,2265,283,700
delthas-JavaMP3,OK,78,5,78,5,1982,1891,73,91,77,4,98,7,73,91
tony19-named-regexp,OK,473,52,473,52,1606,388,421,1218,470,50,1226,197,420,1029
michaeltandy-log4j-json,OK,347,70,347,70,4626,1258,277,3368,342,66,4036,950,276,3086
leonbloy-pngj,OK,156406,588,156406,588,763869,118471,155818,645398,156399,582,654034,9946,155817,644088
sangupta-gather,OK,2283,186,2283,186,7934,781,2097,7153,2279,183,7824,708,2096,7116
makersoft-mybatis-shards,OK,117902,2316,118008,2322,912899,71743,115686,841156,117544,2306,838198,27270,115238,810928
amazon-archives-amazon-kinesis-connectors,OK,27713,1367,27717,1367,341072,104609,26350,236463,27669,1346,314016,90250,26323,223766
VerbalExpressions-JavaVerbalExpressions,OK,1019,144,1019,144,3708,1393,875,2315,1016,142,3693,1385,874,2308
qiurunze123-Designpattern,OK,91498,3566,91541,3573,605531,102747,87968,502784,91131,3546,572556,81630,87585,490926
realexpayments-rxp-hpp-java,OK,91799,1789,91801,1790,550516,212766,90011,337750,91322,1770,460506,158052,89552,302454
codelibs-jcifs,OK,621,156,679,160,2711,1091,519,1620,663,145,1855,541,518,1314
wolf-yuan-6115-flowermoon,OK,3,2,3,2,5150,5050,1,100,2,1,200,100,1,100
JodaOrg-joda-time-i18n,OK,16,9,16,9,1727,1151,7,576,12,6,13,7,6,6
marschall-path-classloader,OK,290,126,290,126,1533,1035,164,498,280,117,1447,984,163,463
hertzsprung-hamcrest-json,OK,590,113,590,113,2360,743,477,1617,583,108,1969,452,475,1517
grantneale-kafka-lag-based-assignor,OK,332,164,332,164,1740,1048,168,692,325,158,1520,906,167,614
vdurmont-etaprinter,OK,66,48,66,48,3914,2817,18,1097,61,44,2598,2132,17,466
vivekragunathan-JINQ,OK,1449,221,1449,221,8648,1995,1228,6653,1445,218,8613,1975,1227,6638
bpsm-edn-java,OK,37125,428,37125,428,313546,32055,36697,281491,37116,421,311796,31147,36695,280649
jessin20161124-miniDubboOpen,OK,822,114,822,114,3592,633,708,2959,813,106,3411,515,707,2896
jagrosh-MusicBot,OK,3,2,3,2,5150,5050,1,100,2,1,200,100,1,100
davidmoten-word-wrap,OK,1542,208,1542,208,766101,760892,1334,5209,1538,204,622960,617751,1334,5209
adobe-commerce-cif-magento-graphql,OK,41779,587,41779,587,323717,63146,41192,260571,41773,582,236854,19669,41191,217185
javalite-jar-explorer,OK,963,52,963,52,3250,161,911,3089,963,52,3250,161,911,3089
wang007-vertx-start,OK,995,163,995,163,3572,1395,832,2177,986,155,3306,1171,831,2135
JodaOrg-joda-time-hibernate,OK,63916,1604,63917,1604,292924,43156,62313,249768,63603,1581,254278,21176,62022,233102
prat-man-unique4j,OK,935,95,935,95,2116,398,840,1718,926,87,2001,317,839,1684
Zlika-reproducible-build-maven-plugin,OK,1364,213,1364,213,5618,2241,1151,3377,1350,207,4484,1187,1143,3297
augustd-burp-suite-jsonpath,OK,488,76,488,76,6418,4941,412,1477,487,75,6378,4901,412,1477
tupilabs-tap4j,OK,14466,1253,14466,1253,221498,150822,13213,70676,14460,1248,168996,102449,13212,66547
apache-sling-org-apache-sling-dynamic-include,OK,97418,1502,97418,1502,494896,30832,95916,464064,97337,1484,481756,22467,95853,459289
RTBHOUSE-avro-fastserde,OK,56651,1699,56651,1699,652309,110616,54952,541693,56174,1666,620969,92590,54508,528379
scoutant-polyline-decoder,OK,1059,59,1059,59,7979,2743,1000,5236,1058,58,7978,2742,1000,5236
gaols-reduce-rule,OK,4000,400,4000,400,302658,30600,3600,272058,4000,400,302658,30600,3600,272058
imohsenb-ISO8583-Message-Client-java,OK,123,44,123,44,1554,465,79,1089,118,40,1298,297,78,1001
MountCloud-graphql-client,OK,172,129,172,129,1153,938,43,215,167,125,817,705,42,112
chrfrantz-DBSCAN,OK,677,64,677,64,5680,2274,613,3406,675,62,5026,1620,613,3406
cyberborean-rdfbeans,OK,64529,1288,64529,1288,292751,97469,63241,195282,64510,1275,243655,48408,63235,195247
joel-costigliola-assertj-neo4j,OK,152004,1591,152004,1591,751485,31431,150413,720054,151972,1578,736930,21446,150394,715484
javagl-Common,OK,763,92,763,92,2636,586,671,2050,761,90,2555,505,671,2050
clarkchen-data_structure,OK,268,47,268,47,1390,528,221,862,264,45,1200,433,219,767
kravchik-jcommon,OK,890,249,890,249,3128,1281,641,1847,872,237,2560,820,635,1740
sranka-jdbcimage,OK,77,31,77,31,2204,1722,46,482,76,30,1088,606,46,482
games647-ColorConsole,OK,510,225,510,225,6319,3749,285,2570,503,219,5288,3202,284,2086
gridgain-yardstick,OK,316,39,316,39,1297,818,277,479,314,37,1293,814,277,479
ajantis-java-crdt,OK,345,60,345,60,1433,552,285,881,340,56,1128,283,284,845
dgroup-laconic-velocity,OK,654,173,654,173,3373,2341,481,1032,644,163,2785,1753,481,1032
hsiafan-apk-parser,OK,25320,549,25320,549,297641,53094,24771,244547,25311,541,276669,39487,24770,237182
linux-china-plantuml-gist,OK,88359,905,88359,905,437239,12670,87454,424569,88292,888,431736,10060,87404,421676
marcosvidolin-doco,OK,1430,487,1431,488,6846,3381,943,3465,1417,475,6252,2948,942,3304
zheng93775-mysql-lock,OK,745,150,745,150,6786,2294,595,4492,735,141,5768,1666,594,4102
apache-commons-compress,OK,9855341,38845,9855341,38845,101059988,46371032,9816496,54688956,9853043,38809,73363139,19011630,9814234,54351509
Imaginary11-bionic-utils,OK,203,92,203,92,1478,806,111,672,196,86,677,367,110,310
dart-maven-plugin-dart-maven-plugin,OK,250,78,250,78,2372,1768,172,604,245,74,2049,1580,171,469
ocaffe-numero-por-extenso,OK,2355,65,2355,65,8730,296,2290,8434,2353,64,8724,293,2289,8431
Appdynamics-redis-monitoring-extension,OK,8228,568,8228,568,630637,217256,7660,413381,8220,561,610141,198422,7659,411719
VaughnVernon-mockroservices-java,OK,729,177,729,177,5755,1941,552,3814,723,172,5509,1801,551,3708
ctran-TinyRadius,OK,229,6,229,6,1793,347,223,1446,226,4,1140,20,222,1120
mdewilde-opml-parser,OK,66790,1975,66790,1975,279718,30154,64815,249564,66776,1962,264155,20791,64814,243364
yichen0831-OpenCC-Java,OK,794,90,794,90,828635,536967,704,291668,790,87,13867,6082,703,7785
fiji-AnalyzeSkeleton,OK,906,131,908,132,2381,643,776,1738,904,129,2265,547,775,1718
spullara-cli-parser,OK,439,138,439,138,2289,933,301,1356,433,133,2261,911,300,1350
mikera-enlight,OK,95443,754,95443,754,262047,97314,94689,164733,95435,747,184561,20573,94688,163988
ralscha-bsoncodec,OK,480,81,481,81,3984,2651,400,1333,473,74,2408,1387,399,1021
graphhopper-jackson-datatype-jts,OK,1366,87,1366,87,8541,2202,1279,6339,1359,81,7213,1429,1278,5784
jbrundege-taro,OK,25182,1885,25182,1885,249214,118925,23297,130289,25099,1871,193932,88017,23228,105915
kamranzafar-jtar,OK,514,62,514,62,1893,619,452,1274,510,59,1797,532,451,1265
google-closure-stylesheets,OK,253199,4325,253199,4325,965819,138446,248874,827373,253151,4306,959477,133929,248845,825548
unruly-java-8-matchers,OK,412,115,412,115,3338,1178,297,2160,411,114,3334,1174,297,2160
bmatthews68-ldapunit,OK,68635,1488,68635,1488,514742,76000,67147,438742,68622,1477,479256,48960,67145,430296
chenjianjx-swagger2html,OK,72505,3399,72507,3401,585905,193683,69106,392222,72361,3387,533919,157551,68974,376368
RakhmedovRS-DataStructuresAndAlgorithmsInJava2ndEdition,OK,4992,185,4992,185,454700,18731,4807,435969,4987,182,454451,18606,4805,435845
lafaspot-ja3_4java,OK,43,24,43,24,3943,2538,19,1405,38,20,1678,1403,18,275
plutext-docx4j-export-FO,OK,61738,1588,61744,1588,420622,160305,60156,260317,61716,1573,391816,140042,60143,251774
ecki-et-otp,OK,1032,11,1032,11,3720,118,1021,3602,1029,9,3655,85,1020,3570
pouyaesm-signed-community-detection,OK,2196,108,2196,108,5344,1392,2088,3952,2190,104,3747,586,2086,3161
WebThingsIO-webthing-java,OK,1613,126,1613,126,7090,1906,1487,5184,1580,121,5489,710,1459,4779
gridkit-jvm-attach,OK,21,15,21,15,8474,6351,6,2123,18,13,7246,5736,5,1510
saoj-mentabean,OK,72229,3526,72229,3526,560008,230290,68703,329718,72221,3519,520394,209292,68702,311102
thundra-io-thundra-lambda-warmup,OK,39320,1552,39320,1552,222189,77312,37768,144877,39283,1532,198446,64361,37751,134085
Celos-avro-json-decoder,OK,1777,192,1777,192,7828,2364,1585,5464,1771,187,6161,1407,1584,4754
threefish-nutz-sqltpl,OK,24867,1456,24867,1456,224241,93427,23411,130814,24856,1447,213139,86148,23409,126991
PhantomThief-thrift-pool-client,OK,1562,20,1562,20,4206,426,1542,3780,1556,15,3836,77,1541,3759
razorpay-razorpay-java,OK,150082,2503,150082,2503,897003,89421,147579,807582,150067,2491,853727,59083,147576,794644
wstrange-GoogleAuth,OK,395,101,395,101,2858,1033,294,1825,392,98,2839,1014,294,1825
romix-java-concurrent-hash-trie-map,OK,322134,2378,322134,2378,183172638,171820069,319756,11352569,322127,2372,158563590,151295119,319755,7268471
AVMf-avmf,OK,418,55,418,55,2519,465,363,2054,415,53,2330,369,362,1961
jai-imageio-jai-imageio-core,OK,2032,81,2032,81,402676,397139,1951,5537,2027,77,6299,1305,1950,4994
seahen-maven-s3-wagon,OK,159,30,159,30,1077,350,129,727,153,25,664,126,128,538
budhash-cliche,OK,331,120,331,120,1822,1188,211,634,328,118,1817,1185,210,632
LibrePDF-OpenRTF,OK,327,96,327,96,2052,884,231,1168,322,92,1965,832,230,1133
OWASP-OWASP-WebScarab,OK,1001,80,1001,80,6163,2354,921,3809,991,71,3497,481,920,3016
JohnsProject-JGameEngine,OK,66,19,66,19,2623,721,47,1902,66,19,2623,721,47,1902
mraible-jhipster6-demo,OK,173988,3173,173988,3173,686474,74009,170815,612465,173885,3140,652372,54257,170745,598115
vashishthask-eclipse-to-maven,OK,336,75,336,75,1457,826,261,631,327,67,1264,669,260,595
ryenus-rop,OK,537,206,537,206,4390,2499,331,1891,533,203,3701,2152,330,1549
fortitudetec-sonar-ruby-plugin,OK,130388,15954,130388,15954,109769257,88468738,114434,21300519,130377,15945,109718776,88435496,114432,21283280
coekie-gentyref,OK,779,57,779,57,3301,957,722,2344,775,54,1762,184,721,1578
davidmoten-aws-maven-plugin,OK,240,75,240,75,1721,824,165,897,235,71,1205,453,164,752
Coreoz-Wisp,OK,249525,497,249525,497,994247,79116,249028,915131,249513,486,887720,25233,249027,862487
JervyShi-nacos-embedded,OK,3367,86,3367,86,7968,647,3281,7321,3358,78,7147,219,3280,6928
profesorfalken-jSensors,OK,480,137,480,137,2585,877,343,1708,476,134,2496,829,342,1667
weswilliams-GivWenZen,OK,275175,2305,275175,2305,824360,59059,272870,765301,275149,2287,778930,19388,272862,759542
ForgeRock-OpenBanking-UK-Datamodel-Java-SDK,OK,86546,2356,86546,2356,630670,121463,84190,509207,84805,2345,590352,89066,82460,501286
wttech-Maven-CRX-Plugin,OK,562,117,562,117,5100,1438,445,3662,558,114,4184,967,444,3217
AdamBien-xplr,OK,608,53,608,53,1537,166,555,1371,608,53,1537,166,555,1371
jlawrie-opencsv,OK,1272,297,1272,297,7830,2758,975,5072,1269,295,7614,2642,974,4972
Zettelkasten-Team-Zettelkasten,OK,22466,697,22466,697,308662,20860,21769,287802,22459,691,306503,18726,21768,287777
PawelGorny-lostword,OK,40743,111,40743,111,279796,78284,40632,201512,40736,105,217506,19538,40631,197968
kgalant-PackageBuilder,OK,933,82,935,83,5065,1660,852,3405,931,80,3968,1108,851,2860
mikera-mikera,OK,64548,1122,64548,1122,388589,185079,63426,203510,64535,1110,355467,159645,63425,195822
Scout24-spring-boot-rpm-maven-plugin,OK,100528,415,100528,415,414925,38674,100113,376251,100523,411,402490,26421,100112,376069
spotify-futures-extra,OK,80817,1217,80817,1217,854143,708842,79600,145301,80798,1205,850292,706113,79593,144179
ashenwgt-awesome-bdd-with-cucumber,OK,22453,1083,22453,1083,216134,52643,21370,163491,22438,1069,207479,48087,21369,159392
figo-connect-java-figo,OK,128,60,128,60,1586,984,68,602,124,57,1461,915,67,546
studerw-td-ameritrade-client,OK,49470,3496,49470,3496,865454,374983,45974,490471,49243,3475,366697,123276,45768,243421
koen-serneels-ws-proxy,OK,362,146,362,146,1117,578,216,539,355,140,995,497,215,498
tdunning-anomaly-detection,OK,4,4,4,4,381699,381699,0,0,3,3,381698,381698,0,0
vitalidze-chromecast-java-api-v2,OK,48828,1485,48828,1485,327098,64888,47343,262210,48359,1476,293956,32206,46883,261750
francisdb-serviceloader-maven-plugin,OK,1122,85,1122,85,3871,343,1037,3528,1120,84,3863,339,1036,3524
joniles-rtfparserkit,OK,28820,92,28820,92,219891,13606,28728,206285,28816,89,205493,1378,28727,204115
cescoffier-vertx-completable-future,OK,118822,427,118822,427,311753,56357,118395,255396,118810,415,264907,9511,118395,255396
DaisyDiff-DaisyDiff,OK,57132,1144,57132,1144,331685,51377,55988,280308,57127,1140,325294,46046,55987,279248
FasterXML-java-classmate,OK,1540,308,1540,308,7720,3271,1232,4449,1535,304,5894,2305,1231,3589
libcoolsocket-java,OK,1480,172,1480,172,518018,515264,1308,2754,1472,165,517820,515072,1307,2748
AgNO3-jcifs-ng,OK,635,155,750,160,2815,1097,590,1718,734,145,1962,549,589,1413
jarekratajski-badlam,OK,377,32,377,32,1276,196,345,1080,375,31,1098,107,344,991
